list-max-ziplist-size,hz,hash-max-ziplist-entries,hll-sparse,repl-backlog,hash-max-ziplist-value,active-defrag-threshold,active-defrag-ignore,requests per second
-3,10,156,0,1,32,5,100,25641.03
-4,135,478,7874,7,94,8,222,31347.96
-4,220,513,7194,4,124,19,133,42194.09
-4,499,373,10091,1,36,14,152,39370.08
-4,15,803,3981,3,112,11,142,34722.22
-4,74,893,6487,10,106,16,118,44247.79
-4,103,270,778,3,98,13,148,45248.87
-4,353,991,540,2,44,4,289,38759.69
-4,419,935,8355,2,113,13,167,38610.04
-4,311,409,9013,5,56,7,283,45871.56
-4,297,957,14856,10,127,8,234,43859.65
-3,145,638,12721,0,116,13,290,40322.58
-3,376,303,47,6,50,18,205,27247.96
-3,155,561,14623,9,58,18,189,45662.1
-3,233,396,11618,8,80,14,236,49504.95
-3,86,333,12311,1,79,4,203,42016.8
-3,266,325,13086,5,76,15,256,24691.36
-3,240,538,2442,6,99,7,197,27322.4
-3,57,754,10873,0,69,19,137,25706.94
-3,35,766,4947,7,85,12,181,31055.9
-3,39,694,8121,6,70,10,262,39370.08
-2,480,657,11182,10,109,11,227,46296.3
-2,185,670,13795,7,83,20,185,45248.87
-2,312,435,6224,8,105,16,243,35971.22
-2,210,919,1156,8,42,6,123,31746.03
-2,193,1011,3622,1,39,17,213,47846.89
-2,453,978,10394,10,55,12,296,43859.65
-2,120,602,2780,6,62,17,244,40322.58
-2,430,582,5254,2,33,6,218,43103.45
-2,365,781,9427,3,65,6,252,42553.19
-2,474,877,6955,8,35,5,169,42918.46
-1,3,858,8723,4,121,9,107,47169.81
-1,252,287,11713,4,101,19,109,37878.79
-1,348,817,5940,5,61,15,100,39682.54
-1,172,841,1820,1,73,11,275,29411.76
-1,96,571,4411,4,90,10,125,34482.76
-1,397,715,13325,3,50,7,160,36101.08
-1,409,366,3062,5,93,14,154,36630.04
-1,443,453,2138,9,120,17,268,44642.86
-1,281,502,4693,2,88,8,272,28011.21
-1,336,723,14244,7,45,9,176,33898.3
-4,136,484,7858,7,94,8,223,38910.51
-4,220,512,7336,4,124,19,132,42372.88
-4,492,374,9867,1,37,14,153,49751.24
-4,24,807,3936,3,112,11,141,41841
-4,74,894,6503,10,106,16,115,45871.56
-4,107,264,932,3,97,13,146,29069.77
-4,359,999,618,2,45,4,288,41841
-4,420,942,8477,2,115,13,167,28409.09
-4,307,408,9318,5,57,6,284,38759.69
-4,297,959,14814,9,127,8,234,39062.5
-3,142,626,12533,0,118,13,294,45454.55
-3,381,310,197,6,49,18,208,45454.55
-3,151,557,14536,9,59,18,191,48309.18
-3,236,406,11372,8,80,14,236,46511.63
-3,85,345,12355,1,78,4,200,51020.41
-3,267,316,12909,5,76,15,258,49751.24
-3,244,530,2519,6,100,7,198,44247.79
-3,59,744,10586,0,68,19,136,25062.66
-3,35,757,4934,7,85,12,182,28653.29
-3,43,691,8248,6,71,10,263,37037.04
-2,482,657,11091,10,109,10,226,29940.12
-2,180,660,13596,7,83,20,184,43478.26
-2,317,444,6040,8,105,16,243,27027.03
-2,201,910,1207,8,40,6,120,37174.72
-2,190,1012,3567,1,39,17,211,47846.89
-2,452,966,10352,9,54,11,299,41493.78
-2,115,602,2883,6,64,16,244,46082.95
-2,430,585,5415,2,31,6,218,42735.04
-2,373,787,9520,3,67,6,252,38022.81
-2,464,875,6871,8,34,5,170,39370.08
-1,10,858,8860,4,122,9,106,47846.89
-1,259,279,11862,4,101,20,110,47846.89
-1,340,815,5754,5,61,15,99,45662.1
-1,174,844,1577,1,73,11,277,34602.07
-1,89,566,4389,4,91,10,127,36496.35
-1,393,702,13485,3,52,6,160,26881.72
-1,403,353,3250,5,93,14,156,49504.95
-1,446,453,2243,9,119,17,268,26881.72
-1,277,491,4588,2,88,8,273,19455.25
-1,327,720,14088,7,47,9,177,32258.06
-4,133,476,7835,7,94,9,223,30769.23
-4,214,507,7397,4,124,19,129,25839.79
-4,491,387,10053,1,36,14,151,37735.85
-4,12,793,3984,3,113,11,143,39370.08
-4,73,899,6436,10,107,16,116,48543.69
-4,103,273,945,3,98,13,145,28901.73
-4,352,1003,475,2,44,4,285,39525.69
-4,413,943,8480,2,114,13,165,37878.79
-4,301,413,9308,5,57,7,282,38910.51
-4,298,957,14770,9,125,8,229,38167.94
-3,144,631,12725,0,117,12,291,32679.74
-3,382,307,331,6,49,18,207,40816.32
-3,157,560,14360,9,60,18,190,48309.18
-3,231,390,11418,8,80,14,236,47846.89
-3,85,346,12037,1,77,5,200,44843.05
-3,271,331,12912,5,74,15,257,41666.67
-3,249,527,2312,6,100,7,199,45871.56
-3,62,746,10629,0,69,19,135,35587.19
-3,30,759,5155,7,85,12,182,25773.2
-3,38,681,8236,6,71,10,264,31446.54
-2,486,656,11086,10,110,11,227,38910.51
-2,180,668,13841,7,83,20,189,38314.18
-2,320,445,6202,8,104,16,240,40983.61
-2,201,920,1190,8,41,6,120,45248.87
-2,188,1015,3655,1,39,17,212,36764.7
-2,454,983,10158,10,55,12,298,37593.98
-2,118,605,2644,6,64,16,249,47846.89
-2,429,592,5358,2,33,6,214,43290.04
-2,374,790,9739,3,67,6,253,47169.81
-2,467,883,6786,8,34,5,172,43103.45
-1,3,868,8716,4,122,9,107,36900.37
-1,259,287,11954,4,102,19,113,46296.3
-1,337,828,5846,5,62,15,99,46082.95
-1,169,848,1820,1,72,12,279,49504.95
-1,98,577,4199,4,91,10,125,39370.08
-1,388,715,13453,3,51,7,160,30864.2
-1,404,357,3153,5,93,14,154,46511.63
-1,447,458,2115,9,119,17,267,43290.04
-1,283,492,4539,2,87,8,272,38610.04
-1,331,726,14208,7,45,9,178,34013.61
-4,130,469,7615,7,95,9,224,40000
-4,221,506,7135,4,124,19,130,47846.89
-4,494,388,9932,1,37,14,150,29585.8
-4,13,797,4027,3,113,11,140,46296.3
-4,72,907,6403,10,106,16,116,44444.45
-4,104,267,762,3,98,14,148,41666.67
-4,361,994,631,2,43,4,289,49261.09
-4,419,945,8345,2,115,13,165,48076.92
-4,309,417,9198,5,56,7,284,33003.3
-4,296,955,14832,9,126,8,231,43103.45
-3,146,632,12591,0,116,13,290,38022.81
-3,385,299,117,6,48,18,207,50000
-3,157,552,14577,9,58,18,191,47393.37
-3,234,394,11258,8,80,15,235,44642.86
-3,86,349,12220,1,79,5,199,30674.85
-3,267,315,12800,5,76,15,255,27027.03
-3,238,532,2359,6,100,7,195,30303.03
-3,57,736,10626,0,68,19,138,36764.7
-3,29,757,5209,7,84,12,179,46511.63
-3,42,684,8187,6,70,10,261,27548.21
-2,475,647,11183,10,110,11,228,45871.56
-2,178,673,13509,7,82,20,187,39215.69
-2,319,431,6339,8,105,16,242,36231.89
-2,206,918,1201,8,42,6,122,46511.63
-2,190,1021,3543,1,40,17,213,49504.95
-2,450,979,10371,9,53,12,295,47393.37
-2,120,620,2633,6,63,16,245,39525.69
-2,432,596,5537,2,33,6,215,47393.37
-2,369,788,9550,3,66,6,253,42372.88
-2,469,883,6947,8,34,5,172,35842.29
-1,6,864,8846,4,121,9,104,32051.28
-1,258,292,11648,4,102,19,109,31545.74
-1,342,826,5656,5,62,15,99,33112.59
-1,173,849,1711,1,72,11,275,33783.79
-1,98,566,4178,4,89,10,124,43290.04
-1,394,709,13200,3,51,7,163,47846.89
-1,405,353,3105,5,92,14,156,46296.3
-1,442,462,2061,9,119,17,267,45454.55
-1,278,502,4829,2,86,8,272,27247.96
-1,329,730,14117,7,46,10,178,44642.86
-4,129,473,7841,7,95,9,222,46948.36
-4,213,506,7233,4,124,19,133,36630.04
-4,497,378,9899,1,37,14,150,34602.07
-4,13,802,3849,3,112,11,143,47169.81
-4,63,896,6399,10,107,16,115,45871.56
-4,108,261,1045,3,96,13,145,45248.87
-4,360,992,632,2,44,4,286,47169.81
-4,413,932,8482,2,114,13,165,32894.74
-4,302,421,9252,5,56,7,281,37037.04
-4,297,957,14871,9,127,8,233,25445.29
-3,138,623,12501,0,117,12,292,28169.02
-3,375,309,193,6,49,18,204,37878.79
-3,157,547,14387,8,59,18,192,46082.95
-3,232,392,11453,8,80,15,235,40322.58
-3,84,336,12012,1,78,5,201,45662.1
-3,274,317,13048,5,75,15,256,38759.69
-3,241,524,2464,6,100,7,195,36363.64
-3,51,753,10682,0,68,19,137,40485.83
-3,28,770,4983,7,86,12,184,40983.61
-3,44,680,8013,6,70,10,262,37878.79
-2,483,652,11204,10,110,11,229,39062.5
-2,185,674,13725,7,82,20,188,41841
-2,312,430,6159,8,105,16,240,46948.36
-2,210,910,1324,8,42,6,122,29940.12
-2,188,1022,3616,1,40,18,211,29940.12
-2,450,969,10495,9,54,12,298,35587.19
-2,113,618,2924,6,63,16,246,29940.12
-2,425,599,5432,2,31,6,214,50505.05
-2,373,777,9692,3,67,6,252,40000
-2,466,887,7090,8,33,5,170,43478.26
-1,11,855,8731,4,121,9,106,42372.88
-1,253,291,11679,4,102,20,111,45248.87
-1,337,823,5697,5,61,15,103,45871.56
-1,167,843,1571,1,73,12,279,35971.22
-1,96,567,4127,4,90,10,125,40160.64
-1,396,697,13193,3,51,6,162,41322.31
-1,411,364,3177,5,93,14,159,46948.36
-1,443,466,2219,9,119,17,267,42735.04
-1,275,498,4623,2,87,8,273,49751.24
-1,326,727,13992,7,46,10,176,43668.12
-4,134,474,7566,7,96,9,224,47846.89
-4,219,512,7249,4,124,19,133,50251.26
-4,489,371,9778,1,36,14,153,48543.69
-4,23,807,4068,3,111,11,144,48076.92
-4,65,907,6499,10,106,16,117,23980.82
-4,108,272,751,3,98,14,147,28653.29
-4,351,997,379,2,44,4,285,38759.69
-4,421,928,8430,2,113,13,165,48076.92
-4,307,413,9235,5,55,8,282,47846.89
-4,296,954,14724,10,127,8,231,35842.29
-3,139,622,12593,0,116,12,294,33112.59
-3,382,294,126,6,50,18,206,40983.61
-3,157,553,14536,9,58,18,194,25125.63
-3,230,407,11571,8,80,15,236,45871.56
-3,86,337,12335,1,78,4,200,39062.5
-3,271,321,12850,4,75,15,255,44247.79
-3,247,528,2270,6,100,7,198,46511.63
-3,56,744,10827,0,69,20,136,40160.64
-3,35,754,5226,7,86,12,181,39370.08
-3,46,687,8019,6,70,10,264,41152.26
-2,484,658,10983,10,110,11,226,44843.05
-2,177,673,13839,7,82,20,185,47846.89
-2,313,433,6028,8,105,16,242,29850.75
-2,209,913,1451,8,41,6,123,40485.83
-2,190,1006,3689,1,39,17,211,25706.94
-2,462,976,10302,9,53,12,295,49261.09
-2,121,603,2915,6,64,17,245,44052.86
-2,434,594,5252,2,32,6,214,46082.95
-2,372,775,9379,3,67,6,253,38167.94
-2,467,887,7012,8,35,5,170,46511.63
-1,4,864,8845,4,122,9,108,47393.37
-1,262,282,11804,4,103,19,110,43103.45
-1,340,821,5871,5,61,15,101,48076.92
-1,169,849,1581,1,72,11,279,47846.89
-1,95,580,4266,4,91,10,127,44052.86
-1,397,701,13466,3,52,7,164,41322.31
-1,411,369,3009,5,93,14,154,48309.18
-1,440,459,2003,9,120,17,269,36496.35
-1,275,489,4802,2,88,8,274,48309.18
-1,326,726,14125,7,47,10,175,28818.44
-4,135,481,7828,7,96,9,220,23310.02
-4,222,509,7311,4,123,19,131,38022.81
-4,497,373,9774,1,37,14,153,25000
-4,16,793,4087,3,111,11,142,36101.08
-4,62,893,6684,10,106,16,116,43290.04
-4,104,262,1079,3,98,13,147,40322.58
-4,352,990,695,2,45,4,286,49504.95
-4,414,945,8557,2,115,13,167,45045.04
-4,305,419,9360,5,56,7,284,34013.61
-4,294,963,14763,9,126,8,232,47169.81
-3,141,637,12605,0,116,13,290,43668.12
-3,377,297,103,6,48,18,209,43859.65
-3,151,545,14513,9,58,18,191,49019.61
-3,230,401,11516,8,80,15,237,47619.05
-3,81,337,12003,1,78,5,204,38610.04
-3,270,314,12943,5,76,15,257,41493.78
-3,246,535,2584,6,99,7,195,41493.78
-3,58,750,10848,0,69,19,134,46082.95
-3,31,765,5121,7,84,12,184,46296.3
-3,46,691,7970,6,71,10,261,30864.2
-2,486,652,10936,10,110,10,227,38610.04
-2,178,661,13874,7,84,20,187,31055.9
-2,313,442,6041,8,104,16,241,34013.61
-2,201,916,1482,8,41,6,124,34843.21
-2,194,1023,3581,1,39,17,211,35335.69
-2,461,983,10406,9,54,12,294,41666.67
-2,121,610,2659,6,64,17,247,36496.35
-2,426,597,5387,2,32,5,219,35211.27
-2,371,792,9498,3,66,6,254,35211.27
-2,465,876,6774,8,35,5,172,39840.64
-1,4,860,8986,4,121,9,108,40816.32
-1,256,286,11753,4,102,19,110,42016.8
-1,337,820,5677,5,60,15,101,42918.46
-1,174,835,1601,1,74,11,279,50251.26
-1,98,576,4305,4,89,10,126,47169.81
-1,399,716,13446,3,51,7,159,35714.29
-1,405,352,3126,5,93,14,155,40650.41
-1,438,448,2181,9,118,17,266,35714.29
-1,279,497,4780,2,87,8,273,44247.79
-1,330,734,13995,7,46,10,178,36231.89
-4,130,469,7615,8,95,9,224,40000
-4,221,506,7135,4,124,19,130,47846.89
-4,494,388,9932,1,37,15,150,29585.8
-4,13,797,4027,4,113,12,140,46296.3
-4,72,907,6403,10,106,17,116,44444.45
-4,104,267,762,3,98,14,148,41666.67
-4,361,994,631,2,43,5,289,49261.09
-4,419,945,8345,3,115,14,165,48076.92
-4,309,417,9198,5,56,8,284,33003.3
-4,296,955,14832,10,126,8,231,43103.45
-3,146,632,12591,1,116,13,290,38022.81
-3,385,299,117,6,48,18,207,50000
-3,157,552,14577,9,58,19,191,47393.37
-3,234,394,11258,9,80,15,235,44642.86
-3,86,349,12220,1,79,5,199,30674.85
-3,267,315,12800,5,76,15,255,27027.03
-3,238,532,2359,6,100,7,195,30303.03
-3,57,736,10626,1,68,19,138,36764.7
-3,29,757,5209,8,84,13,179,46511.63
